QKEY,INTERVIEW_START_W142,INTERVIEW_END_W142,DEVICE_TYPE_W142,LANG_W142,FORM_W142,XMARITAL_W142,USBEST_COLLEGE_DK_W142,USBEST_ENTERTAINMENT_DK_W142,USBEST_SLIVING_DK_W142,USBEST_MILITARY_DK_W142,USBEST_MEDACHIEVE_DK_W142,USBEST_POLSYSTEM_DK_W142,USBEST_SCIACHIEVE_DK_W142,USBEST_STEMEDUK12_DK_W142,SNSRATE_W142,TECHPOW_W142,TC5_W142,TC6b_W142,SM7_W142,EMPLSIT_W142,FACTWELL_a_W142,FACTWELL_b_W142,FACTWELL_c_W142,FACTWELL_d_W142,FACTWELL_e_W142,FACTWELL_f_W142,FACTWELL_g_W142,FACTWELL_h_W142,FACTWELL_i_W142,FACTWELL_j_W142,FACTWELL_k_W142,TALKMH_a_W142,TALKMH_b_W142,TALKMH_c_W142,TALKMH_d_W142,TALKMH_e_W142,TALKMH_f_W142,TALKMH_g_W142,FACTWGT_a_W142,FACTWGT_b_W142,FACTWGT_c_W142,FACTWGT_d_W142,FACTWGT_e_W142,WILLPWR_W142,OZHEARD_W142,OZUSE_a_W142,OZUSE_b_W142,REDUCOBES_W142,COVIDTHREAT_a_W142,COVIDTHREAT_b_W142,COVIDTHREAT_c_W142,COVIDTHREAT_d_W142,COVID_INFECT_a_W142,COVID_INFECT_b_W142,HRDLONGCOV_W142,LONGCOVID_W142,NEWCOVVAX_W142,USEAI_W142,GENAICRED_W142,AICOPYRGHT_a_W142,AICOPYRGHT_b_W142,AICOPYRGHT_c_W142,AICOPYRGHT_d_W142,AICOPYRGHT_e_W142,AICOPYRGHT_f_W142,AICOPYRGHT_g_W142,CRYPT1_W142,CRYPT2_W142,CRYPTNOW_W142,CRYPTSEC_W142,CRYPT4_W142,GPT1_W142,GPTUSE_W142,GPT2_a_W142,GPT2_b_W142,GPT2_c_W142,GPTPOL1_W142,GPTPOL2_W142,SCI_FLU1_W142,SCI_FLU2_W142,SELFWGT_W142,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W142
103519,2024-02-07T20:25:12Z,2024-02-07T20:36:05Z,2,1,1,1,3,,2,2,2,2,2,,2,3,1,3,3,5,1,1,1,5,1,5,,,,,,2,2,3,3,,4,,2,2,2,3,2,2,2,1,2,3,1,1,1,2,,,2,2,1,2,1,1,3,1,,,,3,2,2,,4,,1,2,,,,,4,,,3,,4,9,2,4,1,1,6,2,,1,1,1,1,1,10,,3,6,3,2,2,3,1,9,3,1,2,99,0.2901619967391691
103538,2024-02-08T16:43:14Z,2024-02-08T17:00:50Z,1,1,1,1,3,,2,2,2,3,2,,2,1,1,1,1,5,2,2,2,5,3,4,,,,,,2,2,3,3,,4,,2,2,2,3,4,2,2,3,3,6,2,2,3,3,,,2,2,1,5,2,1,1,1,,,,2,2,2,,5,,2,2,,,,,5,,,2,1,4,8,3,4,1,1,5,2,,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,2,2,3,0.4124440798847487
103611,2024-02-07T20:29:40Z,2024-02-07T20:39:50Z,2,1,2,6,,2,2,1,2,2,,3,2,1,3,2,1,5,2,,,,,,1,1,2,3,1,2,,3,2,,,2,2,1,2,1,5,2,2,3,2,3,,,,,2,1,,,2,5,2,,,,1,1,1,1,2,2,,3,,3,,,,,,,2,3,1,1,1,2,1,4,2,1,6,2,,1,1,1,1,6,2,2,2,3,2,,2,3,1,1,3,2,1,2,0.4235023678726454
103677,2024-02-07T20:31:19Z,2024-02-07T20:56:54Z,2,1,2,1,,4,2,1,1,4,,3,2,1,2,1,1,5,2,,,,,,2,2,4,1,1,2,4,1,3,,,4,2,1,1,1,3,1,1,2,2,2,,,,,4,4,,,2,5,2,,,,1,1,1,1,1,2,,5,,1,,1,1,,2,5,1,1,2,1,1,2,2,3,1,2,4,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,9,1,1,1,3,0.3737903124647095
103956,2024-02-08T08:26:57Z,2024-02-08T08:36:54Z,1,1,1,5,1,,3,1,2,3,1,,2,1,1,2,2,5,2,3,2,5,2,5,,,,,,2,,4,2,,3,,2,2,2,1,2,2,1,1,2,4,2,1,2,3,,,1,2,2,2,2,1,1,1,,,,1,2,2,,5,,2,2,,,,,5,,,3,1,2,3,1,4,2,1,5,2,,1,1,1,1,5,11,,4,6,2,,2,4,1,2,4,2,2,2,0.42653366787604197
104210,2024-02-09T11:29:59Z,2024-02-09T11:49:06Z,2,1,1,2,3,,4,2,5,3,2,,2,1,1,3,2,1,1,3,1,3,1,3,,,,,,3,2,2,2,,4,,2,2,2,1,1,2,2,1,2,3,1,1,1,1,,,2,1,2,5,2,1,1,1,,,,1,2,2,,5,,2,2,,,,,5,,,1,1,1,2,1,2,2,3,2,2,,1,1,1,1,2,12,,3,6,2,,2,4,1,2,5,2,2,1,1.3770108288213592
104368,2024-02-08T05:55:12Z,2024-02-08T06:43:51Z,1,1,1,1,1,,1,1,1,1,1,,2,3,3,1,3,5,3,2,3,3,3,3,,,,,,5,2,3,4,,5,,2,1,1,1,4,2,3,,,,2,2,3,3,,,2,3,1,2,3,1,1,1,,,,1,2,2,,4,,2,2,,,,,4,,,3,1,3,7,2,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,3,1,2,0.6939984289741351
104491,2024-02-07T17:55:39Z,2024-02-07T18:08:05Z,1,1,1,5,3,,3,2,4,4,3,,2,1,1,2,1,5,2,2,2,2,2,5,,,,,,2,,2,2,,5,,1,2,2,1,2,2,2,1,2,2,1,1,1,1,,,2,1,1,5,3,3,3,3,,,,3,2,2,,5,,3,,,,,,,,,2,1,4,9,1,4,2,2,3,2,,4,1,1,4,5,12,,3,6,2,,2,4,1,3,5,3,2,2,0.7286394061462983
104689,2024-02-07T21:02:56Z,2024-02-07T22:47:22Z,2,1,1,5,2,,3,3,3,4,3,,3,1,3,3,2,5,5,3,3,5,3,2,,,,,,2,,2,3,,2,,3,4,3,4,3,1,2,1,2,3,2,2,2,2,,,2,2,1,5,1,2,2,1,,,,1,3,,,,,99,,,,,,,,,3,2,2,3,3,4,2,3,2,2,,1,1,1,1,5,1,1,1,2,2,,2,3,1,1,3,2,2,1,0.569868632101578
104727,2024-02-08T17:13:54Z,2024-02-08T17:19:10Z,2,1,1,1,2,,2,2,2,4,2,,1,1,2,1,1,1,3,4,1,1,3,4,,,,,,3,3,3,3,,3,,4,1,2,2,1,2,3,,,,2,3,2,3,,,3,,2,3,3,1,1,1,,,,1,2,2,,3,,3,,,,,,,,,4,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,1,1,1,99,2,2,2,99,1.7990908120647002
105124,2024-02-08T21:16:08Z,2024-02-08T21:24:41Z,2,1,2,1,,2,1,2,2,2,,2,2,1,3,1,2,5,2,,,,,,1,1,2,2,1,2,1,2,2,,,2,2,1,1,1,1,2,1,1,2,4,,,,,3,3,,,2,4,3,,,,1,1,3,1,2,2,,4,,2,,2,2,,2,4,1,1,3,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,2,1,,1,1,1,9,2,2,2,3,0.3920091022103439
105205,2024-02-08T10:00:27Z,2024-02-08T10:29:17Z,1,1,2,1,,1,1,3,1,5,,5,2,1,3,3,1,5,1,,,,,,1,1,3,1,1,5,3,3,5,,,3,1,1,1,1,1,2,2,3,3,6,,,,,4,4,,,2,5,3,,,,1,1,1,1,3,,,,,3,,,,,,,1,1,3,1,2,3,2,3,2,2,4,2,,1,1,1,1,1,2,2,2,1,1,,1,1,1,9,1,2,1,2,0.41366108719104866
105269,2024-02-08T02:44:33Z,2024-02-08T02:53:17Z,2,1,2,1,,1,3,2,3,4,,3,2,1,1,3,1,5,4,,,,,,3,2,4,2,2,5,3,3,2,,,4,2,1,1,2,3,2,2,2,1,4,,,,,1,2,,,1,3,2,,,,2,1,1,1,2,2,,3,,2,,2,2,,2,4,1,1,2,1,2,4,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,4,3,2,2,3,1,4,3,2,2,2,0.43743143794956657
106180,2024-02-08T12:36:40Z,2024-02-08T12:47:43Z,2,1,2,1,,4,3,3,2,2,,5,2,1,2,1,1,1,2,,,,,,3,2,4,2,3,3,1,2,4,4,,1,2,3,2,3,4,1,3,,,,,,,,3,4,,,2,2,2,,,,1,1,1,1,2,2,,5,,2,,2,2,2,2,5,2,3,2,1,3,7,3,3,1,2,4,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,9,1,2,1,2,0.46365764485564
106444,2024-02-07T17:21:58Z,2024-02-07T17:27:03Z,2,1,1,1,1,,2,1,3,3,2,,2,1,1,2,1,5,2,2,2,5,2,5,,,,,,3,1,1,1,,3,,3,2,3,2,2,2,1,2,2,4,1,2,2,3,,,1,1,1,2,2,1,1,1,,,,1,2,2,,4,,2,2,,,,,4,,,2,1,1,1,2,4,2,1,5,2,,1,1,1,1,1,2,2,2,6,2,,2,4,1,9,4,1,1,3,0.3488057521323271
106590,2024-02-07T19:55:57Z,2024-02-07T20:03:41Z,2,1,1,1,1,,1,1,3,3,1,,2,1,2,1,1,1,1,3,2,1,1,2,,,,,,2,1,2,2,,5,,1,1,2,1,5,2,1,1,2,4,2,2,1,1,,,1,1,1,3,3,3,1,1,,,,3,2,2,,4,,3,,,,,,,,,1,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,12,,3,5,3,1,1,2,1,9,3,2,2,3,0.5431017498865479
106885,2024-02-08T00:00:29Z,2024-02-08T00:09:35Z,1,1,1,1,3,,2,3,4,5,3,,2,1,1,1,1,5,2,2,3,5,2,2,,,,,,2,1,2,3,,4,,3,1,1,2,4,2,1,1,2,3,3,3,1,3,,,1,2,2,1,2,1,1,1,,,,1,2,2,,4,,3,,,,,,,,,2,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,2,2,2,1,1,,1,1,1,9,2,1,1,3,0.4942948788971197
107023,2024-02-11T12:17:36Z,2024-02-11T12:33:47Z,1,1,2,6,,3,3,2,3,4,,3,2,1,2,2,1,1,3,,,,,,2,2,2,2,2,3,,4,3,4,,2,3,3,3,2,3,2,2,2,2,3,,,,,2,2,,,1,5,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,2,3,2,1,3,5,2,3,2,2,3,2,,1,2,2,1,6,1,1,1,4,2,,2,3,1,4,3,2,2,2,0.5775407635156081
107612,2024-02-07T23:09:24Z,2024-02-07T23:24:59Z,2,1,1,1,3,,5,1,2,5,2,,2,1,1,3,3,2,2,3,2,1,1,2,,,,,,1,1,1,1,,5,,1,1,1,1,1,2,1,1,2,2,1,1,2,2,,,1,1,2,5,3,3,3,3,,,,3,2,2,,99,,3,,,,,,,,,2,1,3,7,2,4,2,2,4,2,,1,2,2,1,1,1,2,1,2,99,2,2,3,1,1,3,2,2,1,0.6809642374728455
107668,2024-02-07T20:59:22Z,2024-02-07T21:11:33Z,2,1,1,6,2,,2,1,4,4,2,,2,1,1,1,2,1,2,3,3,2,2,4,,,,,,3,,2,2,,4,,2,1,2,2,3,2,1,1,2,2,2,3,3,3,,,2,3,1,4,2,1,1,1,,,,2,2,2,,4,,2,2,,,,,6,,,2,2,3,7,3,3,2,1,5,2,,1,1,1,1,6,1,2,1,6,1,,1,2,1,9,3,1,1,3,0.3392688193796572
108035,2024-02-07T17:21:06Z,2024-02-07T17:30:42Z,2,1,2,1,,1,1,1,1,2,,3,2,1,2,1,1,5,5,,,,,,2,2,3,3,1,2,1,2,1,,,1,2,1,1,2,3,1,2,2,2,5,,,,,4,4,,,2,5,3,,,,1,1,1,1,2,2,,5,,2,,2,2,,2,5,2,1,3,1,4,8,2,3,1,3,1,2,,1,2,2,1,1,1,2,1,3,1,,1,1,1,6,1,3,1,2,1.0593752069357871
108348,2024-02-10T16:44:14Z,2024-02-10T16:49:58Z,1,1,2,6,,2,2,1,4,3,,3,3,3,2,1,2,1,1,,,,,,3,2,3,1,2,1,,2,3,4,,3,3,1,1,2,3,1,2,2,2,5,,,,,4,4,,,2,5,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,2,3,2,1,4,8,1,3,2,2,3,99,,1,1,1,1,6,1,1,1,2,3,1,1,1,1,3,2,1,2,2,0.5584636572076709
108435,2024-02-07T17:27:59Z,2024-02-07T17:38:08Z,2,1,2,1,,2,2,2,2,3,,4,2,1,99,1,2,5,3,,,,,,2,3,3,2,2,3,3,3,3,,,3,3,2,3,2,3,2,2,1,2,2,,,,,3,4,,,2,3,2,,,,1,1,1,1,2,2,,5,,2,,2,2,,2,4,1,1,2,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,1,1,1,9,2,2,2,3,0.7255383852605075
108592,2024-02-07T17:24:18Z,2024-02-07T17:37:25Z,1,1,1,3,3,,3,2,4,3,3,,3,3,1,3,3,5,3,3,3,3,2,1,,,,,,3,,2,2,,4,,2,2,2,2,4,2,1,3,2,2,2,2,2,2,,,2,1,1,1,3,3,1,3,,,,3,2,2,,3,,3,,,,,,,,,2,1,2,3,2,4,2,2,4,2,,1,2,2,1,3,1,2,1,2,2,,2,3,1,5,3,1,2,99,0.44751296248789085
109143,2024-02-07T18:14:19Z,2024-02-07T18:22:26Z,3,1,2,3,,2,2,2,3,3,,4,2,1,1,1,1,1,3,,,,,,4,3,3,3,3,4,,4,3,4,,4,2,3,2,2,3,2,2,1,1,3,,,,,4,4,,,2,5,3,,,,1,1,1,1,2,2,,4,,2,,2,2,2,2,6,2,2,2,1,3,5,2,2,2,3,2,2,,1,1,1,1,3,1,2,1,5,1,,1,2,1,4,3,1,1,2,0.3547439333500638
109299,2024-02-08T11:43:03Z,2024-02-08T11:51:20Z,1,1,2,1,,1,1,1,2,2,,3,2,1,1,1,1,5,2,,,,,,2,2,4,3,2,3,2,3,5,,,4,2,2,2,3,5,2,1,3,2,4,,,,,4,4,,,2,5,2,,,,1,1,1,1,2,2,,5,,2,,99,2,,2,5,2,3,5,1,4,9,2,4,1,2,4,1,1,1,5,3,1,1,11,2,4,5,4,1,1,2,1,7,3,3,2,2,0.3817431700959699
110041,2024-02-07T21:41:23Z,2024-02-07T21:51:35Z,2,1,1,1,3,,2,2,2,3,1,,2,1,1,1,1,5,3,2,2,5,2,4,,,,,,3,2,4,3,,4,,2,2,1,2,4,1,1,2,2,4,2,2,2,3,,,3,,2,5,3,1,1,1,,,,3,2,2,,4,,3,,,,,,,,,3,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,10,,3,6,1,,1,1,1,9,2,3,2,3,0.40316426652970117
110550,2024-02-08T19:38:44Z,2024-02-08T19:47:33Z,2,1,1,1,1,,2,1,2,1,2,,3,1,3,1,1,1,2,2,3,3,3,1,,,,,,2,2,3,1,,5,,3,3,2,2,4,2,2,1,1,3,1,2,2,1,,,2,1,1,5,3,1,1,1,,,,1,2,2,,4,,3,,,,,,,,,2,1,3,6,2,3,1,1,5,2,,1,1,1,1,1,1,2,1,2,4,1,1,2,1,9,3,2,1,3,0.3240997057453001
111646,2024-02-07T18:23:21Z,2024-02-07T18:36:55Z,2,1,1,1,2,,2,2,3,2,2,,3,1,1,3,2,5,2,2,3,2,2,1,,,,,,3,1,2,1,,4,,3,2,3,3,2,2,1,1,2,4,2,2,2,3,,,1,2,2,4,2,1,1,1,,,,1,2,2,,4,,3,,,,,,,,,2,1,4,8,2,4,2,1,5,2,,1,1,1,1,1,3,2,4,2,2,,2,3,1,9,3,2,1,2,0.3962534058194634
111927,2024-02-07T18:35:44Z,2024-02-07T18:45:37Z,2,1,1,3,4,,4,3,4,5,4,,2,1,1,1,1,1,2,3,3,3,2,2,,,,,,2,,2,2,,1,,1,2,1,1,1,2,2,2,2,4,2,3,3,3,,,3,,2,5,1,1,1,1,,,,1,2,2,,5,,2,2,,,,,5,,,2,1,2,3,3,4,2,3,2,2,,1,1,1,1,3,12,,3,4,4,99,9,9,1,1,2,2,2,1,1.3135293094726306
112238,2024-02-07T20:05:19Z,2024-02-07T20:12:40Z,2,1,1,2,3,,2,1,3,3,3,,2,1,3,3,2,2,2,3,1,2,2,3,,,,,,2,2,2,1,,4,,2,2,2,3,2,2,2,1,2,3,2,2,2,2,,,2,3,2,5,1,1,1,1,,,,1,2,2,,4,,3,,,,,,,,,2,1,4,8,2,4,2,3,2,2,,1,1,1,1,2,12,,3,5,1,,1,2,1,3,3,2,2,2,0.7904750724526359
112371,2024-02-07T23:51:49Z,2024-02-08T00:02:40Z,2,1,1,1,3,,2,3,2,4,3,,3,1,1,1,1,1,2,3,3,3,3,3,,,,,,3,3,3,3,,5,,3,2,2,3,3,2,2,2,2,5,3,2,2,2,,,2,2,2,5,2,1,1,1,,,,1,3,,,,,3,,,,,,,,,4,1,1,2,2,3,2,2,3,1,3,1,1,3,1,1,2,2,2,5,3,1,1,1,1,99,2,2,2,99,0.8768878261159628
112517,2024-02-09T23:03:06Z,2024-02-09T23:07:58Z,2,1,2,1,,3,2,1,3,2,,4,2,1,3,1,1,1,2,,,,,,2,1,3,1,2,2,1,1,1,3,,2,3,1,1,1,1,2,2,3,3,2,,,,,4,4,,,2,3,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,2,3,2,1,2,3,2,3,2,1,6,2,,1,1,1,1,1,1,1,1,2,3,1,1,1,1,9,2,1,2,3,0.5171306601003188
112613,2024-02-07T17:31:30Z,2024-02-07T17:40:56Z,1,1,1,6,3,,2,3,4,4,3,,2,1,3,1,1,5,4,3,2,4,2,3,,,,,,2,,1,3,,4,,2,2,2,1,2,2,1,2,2,3,2,3,3,3,,,3,,2,5,3,3,3,3,,,,3,2,2,,5,,3,,,,,,,,,3,1,3,5,1,4,2,1,6,2,,1,1,1,1,6,1,2,1,4,1,,1,2,1,8,3,3,2,3,0.4070176423302792
112984,2024-02-07T17:57:14Z,2024-02-07T18:09:11Z,2,1,2,1,,3,3,2,4,3,,2,2,1,3,3,1,5,2,,,,,,2,1,2,1,1,2,2,3,2,,,4,2,2,2,2,2,2,2,1,3,6,,,,,2,2,,,1,5,2,,,,1,1,1,1,2,2,,5,,2,,2,2,,2,6,1,1,3,1,3,5,1,4,2,1,5,2,,1,1,1,1,1,12,,3,5,2,,2,4,3,99,4,3,1,99,0.4194870118362732
113274,2024-02-07T17:30:56Z,2024-02-07T17:33:48Z,2,1,1,2,2,,2,2,2,2,2,,2,1,1,2,2,1,3,3,3,3,2,1,,,,,,1,1,2,1,,3,,2,2,2,2,2,2,2,3,3,3,1,3,1,2,,,1,2,1,2,2,1,1,1,,,,1,2,2,,99,,99,,,,,,,,,3,1,1,1,2,3,1,1,5,99,,1,1,1,1,2,5,,4,3,2,,2,3,1,2,2,2,2,1,0.3622393037875373
113565,2024-02-07T20:58:16Z,2024-02-07T21:08:53Z,2,1,2,1,,3,3,3,4,4,,4,2,1,1,2,2,99,2,,,,,,2,2,3,3,3,3,2,3,3,,,3,3,2,2,2,3,1,2,2,2,3,,,,,3,3,,,2,5,3,,,,1,1,1,1,2,2,,4,,3,,,,,,,1,1,2,2,3,6,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,2,,2,3,1,5,2,3,2,2,0.39590938165103784
114197,2024-02-08T17:08:01Z,2024-02-08T17:16:49Z,2,1,2,5,,1,2,1,2,3,,6,2,1,1,1,1,1,2,,,,,,2,1,2,1,1,2,,1,2,4,,3,3,1,2,2,2,2,1,1,3,3,,,,,1,4,,,2,1,3,,,,1,1,1,1,2,2,,4,,3,,,,,,,1,1,2,1,1,2,2,3,2,1,5,2,,1,1,1,1,5,2,2,2,6,1,,1,2,1,3,3,2,2,2,0.882252423367266
114473,2024-02-08T06:17:42Z,2024-02-08T06:25:32Z,2,1,2,6,,2,2,2,2,2,,3,2,1,3,1,2,5,3,,,,,,2,2,2,2,3,3,,4,3,,,3,2,2,1,2,4,2,2,1,2,4,,,,,3,3,,,2,5,2,,,,1,1,1,1,2,2,,5,,3,,,,,,,2,3,1,1,1,2,2,4,2,1,6,2,,1,4,4,1,6,1,1,1,1,1,,1,1,1,1,2,2,1,1,0.5487996068870942
