"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"134","Not too much","Lower Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"135","Not too much","Middle Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"136","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"137","Some","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"138","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"139","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"140","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"141","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"142","Not too much","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"143","Some","Middle Income","Some","A little","No","Democrat","Female","Some","Some"
"144","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"145","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"146","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"147","Some","Upper Income","A great deal","A lot","No","Democrat","Male","A great deal","Some"
"148","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"149","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"150","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"151","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"152","Not too much","Middle Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"153","Some","Upper Income","Some","A lot","Yes","Republican","Male","Some","Some"
"154","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"155","Some","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"156","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"157","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"158","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"159","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"160","Not too much","Upper Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Not too much"
"161","Some","Lower Income","Some","A little","Yes","Democrat","Female","Some","Some"
"162","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"163","Not too much","Middle Income","Some","A lot","No","Republican","Male","Some","Not too much"
"164","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"165","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Not too much"
"166","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"167","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"168","Some","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"169","Not too much","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Not too much"
"170","Some","Lower Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"171","Some","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Some"
"172","Not too much","Middle Income","Not too much","A lot","Not sure","Republican","Male","Low","Not too much"
"173","Not too much","Lower Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"174","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"175","Not too much","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","Not too much"
"176","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"177","Some","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Some"
"178","Nothing at all","Middle Income","Some","A little","Yes","Republican","Male","Some","Nothing at all"
"179","Nothing at all","Upper Income","Some","A little","No","Democrat","Female","Some","Nothing at all"
"180","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"181","Nothing at all","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Nothing at all"
"182","Not too much","Middle Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"183","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Not too much"
"184","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"185","Some","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"186","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Not too much"
"187","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"188","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"189","Quite a bit","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","A lot"
"190","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"191","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Not too much"
"192","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"193","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"194","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"195","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"196","Not too much","Upper Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"197","Some","Middle Income","Not too much","A lot","Not sure","Republican","Male","Low","Some"
"198","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"199","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"200","Some","Upper Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"201","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"202","Not too much","Upper Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"203","Not too much","Upper Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"204","Not too much","Lower Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"205","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"206","Not too much","Lower Income","Not too much","A little","Not sure","Democrat","Female","Low","Not too much"
"207","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"208","Some","Upper Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"209","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"210","Quite a bit","Middle Income","A great deal","A little","No","Democrat","Female","A great deal","A lot"
"211","Nothing at all","Lower Income","Not at all","A little","No","Republican","Male","Low","Nothing at all"
"212","Not too much","Lower Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"213","Quite a bit","Upper Income","Some","A lot","No","Democrat","Female","Some","A lot"
"214","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"215","Some","Lower Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"216","Not too much","Upper Income","Some","A little","No","Democrat","Female","Some","Not too much"
"217","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"218","Some","Lower Income","Not at all","A little","Not sure","Democrat","Female","Low","Some"
"219","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"220","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"221","Not too much","Lower Income","Not too much","A little","Not sure","Democrat","Female","Low","Not too much"
"222","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"223","Not too much","Lower Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"224","Not too much","Upper Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Not too much"
"225","Quite a bit","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","A lot"
"226","Some","Middle Income","Some","A little","No","Republican","Male","Some","Some"
"227","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"228","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"229","Some","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"230","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"231","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"232","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"233","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"234","A great deal","Upper Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"235","Some","Middle Income","Some","A little","No","Democrat","Male","Some","Some"
"236","Not too much","Middle Income","Not too much","A little","No","Republican","Male","Low","Not too much"
"237","Some","Lower Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"238","Nothing at all","Middle Income","Not at all","A little","Not sure","Democrat","Female","Low","Nothing at all"
"239","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"240","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"241","Not too much","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"242","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"243","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"244","Nothing at all","Middle Income","A great deal","A lot","Not sure","Democrat","Female","A great deal","Nothing at all"
"245","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"246","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"247","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"248","Some","Lower Income","Some","A little","Yes","Republican","Female","Some","Some"
"249","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"250","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"251","A great deal","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"252","Not too much","Upper Income","Not too much","A little","Not sure","Democrat","Female","Low","Not too much"
"253","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Female","Some","Nothing at all"
"254","A great deal","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"255","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Not too much"
"256","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"257","A great deal","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"258","Not too much","Lower Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"259","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"260","Nothing at all","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Nothing at all"
"261","Not too much","Middle Income","Not too much","A lot","Not sure","Republican","Male","Low","Not too much"
"262","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"263","Some","Lower Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"264","Not too much","Lower Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"265","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"266","Some","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"267","Some","Middle Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"268","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"269","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"270","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"271","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"272","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"273","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"274","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"275","Some","Lower Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"276","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"277","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"278","Not too much","Lower Income","Some","A little","No","Democrat","Male","Some","Not too much"
"279","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"280","Some","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Some"
"281","Some","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"282","A great deal","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"283","Some","Upper Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"284","Not too much","Upper Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"285","Not too much","Middle Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"286","Some","Lower Income","Some","A little","No","Democrat","Male","Some","Some"
"287","Some","Upper Income","Some","A little","Not sure","Republican","Female","Some","Some"
"288","Not too much","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"289","Quite a bit","Middle Income","Some","A little","Yes","Republican","Male","Some","A lot"
"290","Nothing at all","Upper Income","A great deal","A lot","Not sure","Democrat","Male","A great deal","Nothing at all"
"291","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"292","Some","Lower Income","Some","A lot","Yes","Republican","Male","Some","Some"
"293","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"294","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Not too much"
"295","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"296","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Not too much"
"297","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"298","Some","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"299","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"300","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"301","Nothing at all","Middle Income","Not too much","A little","Not sure","Republican","Male","Low","Nothing at all"
"302","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"303","Not too much","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"304","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"305","Not too much","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"306","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"307","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"308","Not too much","Upper Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"309","Quite a bit","Middle Income","Not too much","A little","Yes","Democrat","Female","Low","A lot"
"310","Not too much","Lower Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"311","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"312","Nothing at all","Middle Income","Some","A little","Not sure","Republican","Male","Some","Nothing at all"
"313","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"314","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"315","Some","Upper Income","Some","A little","Yes","Republican","Female","Some","Some"
"316","Not too much","Lower Income","A great deal","A little","Not sure","Republican","Male","A great deal","Not too much"
"317","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Female","Some","Not too much"
"318","Nothing at all","Middle Income","Not at all","A lot","Yes","Democrat","Female","Low","Nothing at all"
"319","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
